,EX.UL,OLI.1,AST,OPC,EX.DL1,IN.VIP,EX.DL2,IN-PV,EX.NRGN,OLI.2,MGL,IN.SST,EX.NRG1,IN.SV2C,EX.DL3,END/PER,EX.DL4
AC011287.1,1.296658694,-0.509311366,-0.491885363,-0.447698968,-0.017281153,-0.470614858,0.414025619,-0.463263383,-0.394615814,-0.510716714,-0.465374199,-0.464085268,0.754619353,-0.448881287,0.579751633,-0.443994875,-0.427226229
CBLN2,1.375398199,-0.47735351,-0.472784091,-0.452067902,-0.171319961,-0.360052284,-0.266425348,-0.448020766,-0.186451202,-0.462342531,-0.45644281,-0.256117251,0.989272828,-0.464951155,0.145591619,-0.438996611,-0.455944048
HS6ST3,1.235764645,-0.794666655,-0.75999997,0.525071096,-0.209100479,0.366921075,-0.119446303,0.486242703,-0.309750168,-0.77864012,-0.754460765,-0.511478323,0.544271463,-0.497791379,-0.276804213,-0.700098182,0.879984516
IQCJ-SCHIP1,1.109676069,-0.522716556,-0.778397534,-0.743000238,1.035638953,-0.419351992,0.865097294,0.029950376,-0.753430149,-0.176763582,-0.815667704,-0.184061779,0.667480881,-0.528859373,-0.189982945,-0.724073879,-0.288822958
LINC02306,1.151538861,-0.355205955,-0.346439226,-0.34324375,0.366536486,-0.337467917,-0.307262159,-0.339883626,-0.317793511,-0.346091062,-0.308820246,-0.340949994,0.081853653,-0.343914095,-0.320427132,-0.329705643,-0.338564895
TAFA1,1.14822188,-0.651027226,-0.177026983,0.145361377,0.017033525,-0.418972518,0.953465953,-0.592537205,-0.421602086,-0.636577554,-0.576287819,-0.623837828,0.418211835,-0.616389121,-0.345873746,-0.560824524,-0.534556094
CUX2,1.299074905,-0.435533482,-0.428428516,-0.345145548,-0.140910941,-0.405835488,-0.358240533,0.341117158,-0.25818144,-0.429955948,-0.417428538,0.161046395,-0.389690592,-0.365657481,-0.394929552,-0.377904588,-0.388625182
KCNIP4,1.094262617,-0.929859937,-0.951922482,0.62576238,0.985097858,0.045860715,0.951238732,-0.485025847,-0.715557135,-0.970331435,-0.894475589,-0.313007655,1.063308997,-0.089549728,0.43842274,-0.808810364,-0.860404969
AC034268.2,1.028890514,-0.413252413,-0.401503403,-0.395234717,0.385407149,-0.364676545,-0.09955716,-0.373535908,-0.350801045,-0.404329759,-0.388582484,-0.367933015,1.005206456,-0.375101585,0.235895286,-0.368242864,-0.265323472
LINC01378,1.152901356,-0.40786754,-0.405201554,-0.405503568,-0.080041778,-0.34346207,0.628650645,-0.367616859,-0.322060227,-0.406547961,-0.394980531,-0.381895047,-0.078167951,-0.389266582,0.077845878,-0.37530557,-0.392092661
AC013287.1,1.245691706,-0.444704333,-0.481692838,-0.34627177,0.066172523,-0.451958756,0.591072961,-0.405834856,-0.441551007,-0.432904894,-0.484836968,-0.435922291,-0.15709895,-0.473148532,-0.030462651,-0.442677418,1.527580628
DGKB,1.206317357,-0.75208234,-0.59579782,-0.234959771,-0.399893823,0.316965227,0.431069939,-0.212466929,-0.436928903,-0.751953766,-0.721197293,-0.321072888,0.671667819,0.820188702,0.414301489,-0.199543901,0.298361847
LRRTM4,0.995046976,-0.951356401,-0.660514636,0.870349627,0.37228721,0.049908647,0.569242326,0.634700958,-0.824446551,-0.98043663,-1.009611289,-0.002167655,0.41451729,-0.549914898,0.821517641,-0.928088108,-1.003597694
AJ009632.2,1.007109508,-0.323416862,-0.321993826,-0.312360215,-0.162852471,-0.308894241,0.25083322,-0.291929301,-0.170389237,-0.316375303,-0.254281816,-0.30544462,-0.022936553,-0.300786851,-0.178852562,-0.27797569,-0.30158567
CDH18,1.10471109,-0.751818868,-0.738727826,-0.341347107,0.657452998,-0.068768101,0.257433606,0.315262258,-0.539717212,-0.746432914,-0.721025463,-0.030232378,0.380419702,-0.214137687,1.002125585,-0.672957846,1.252122359
LINC02263,0.994340609,-0.362802265,-0.361687318,-0.359031651,-0.109866538,-0.352134809,0.839252299,-0.354840692,-0.284050215,-0.359045718,-0.349528553,-0.358935648,-0.289335076,-0.354057161,0.290467291,-0.347281268,-0.351740749
AL117329.1,1.010476354,-0.49683227,-0.490504212,-0.48669488,0.828682595,-0.469676631,0.540565171,-0.461395177,-0.426520347,-0.475045906,-0.473552713,-0.475072198,0.972877607,-0.469657772,0.201096775,-0.463464574,-0.338688768
LINC02055,0.943400776,-0.33722398,-0.327256894,-0.28514362,0.154512076,-0.209364721,0.219808259,-0.300055189,-0.236070363,-0.342604281,-0.314198187,-0.293175857,-0.15688863,-0.312245212,-0.099099167,-0.27798173,-0.254631184
LINGO2,1.012882041,-0.733445924,-0.726806672,-0.716817279,0.908641754,0.718292033,0.454409463,-0.552894092,-0.612274232,-0.728357074,-0.702374068,-0.182748169,0.467886727,0.855364093,0.629730313,-0.636260969,1.106888464
LDB2,1.083526102,-0.727292878,-0.722015918,-0.513006968,0.972464059,-0.48462742,0.803504897,-0.069532802,-0.237086958,-0.70304486,-0.715169396,-0.700376407,0.845960022,-0.337664018,0.766566161,-0.225406707,1.075766119
